Date,Country,Confirmed_Cases,Deaths,Recovered,Active_Cases,Vaccinations
2020-01-05,Australia,406345,11718,393824,803,11537844
2020-01-06,USA,178725,9716,166854,2155,30240624
2020-01-06,India,555169,16387,544186,-5404,46198176
2020-01-06,Brazil,374755,17872,361547,-4664,7275901
2020-01-06,UK,460183,3724,425752,30707,33086156
2020-01-06,Germany,968812,10609,964059,-5856,45946518
2020-01-06,France,858997,7972,842206,8819,37196487
2020-01-06,Russia,988335,1073,981807,5455,24623149
2020-01-06,Japan,349940,18841,340045,-8946,1811028
2020-01-06,Canada,376895,3388,360771,12736,37834353
2020-01-06,Australia,580407,12865,549248,18294,35329031
2020-01-07,USA,843974,18071,808704,17199,48501692
2020-01-07,India,405295,16013,381960,7322,46865779
2020-01-07,Brazil,326409,5506,316122,4781,29620245
2020-01-07,UK,668343,15216,622928,30199,31180438
2020-01-07,Germany,361333,11106,349713,514,11158184
2020-01-07,France,34219,11916,541,21762,29738441
2020-01-07,Russia,635135,16877,632708,-14450,45839855
2020-01-07,Japan,293420,5557,280472,7391,34658279
2020-01-07,Canada,637404,19236,598008,20160,29737937
2020-01-07,Australia,74809,2674,32054,40081,28017866
2020-01-08,USA,596676,4382,583047,9247,19550151
2020-01-08,India,999218,9633,990617,-1032,40491508
2020-01-08,Brazil,507848,16251,483295,8302,22972028
2020-01-08,UK,372669,11724,323731,37214,9168138
2020-01-08,Germany,926311,16683,905609,4019,46971339
2020-01-08,France,107276,2479,95343,9454,41730468
2020-01-08,Russia,525950,2646,495851,27453,34404523
2020-01-08,Japan,13522,3271,5092,5159,14838941
2020-01-08,Canada,196481,4570,147758,44153,42926503
2020-01-08,Australia,899582,10645,891791,-2854,28480031
2020-01-09,USA,47187,11980,24383,10824,29274097
2020-01-09,India,257215,7880,254415,-5080,33907730
2020-01-09,Brazil,8335,365,-37012,44982,5176995
2020-01-09,UK,955569,19440,950060,-13931,3678257
2020-01-09,Germany,318277,7049,298877,12351,32153743
2020-01-09,France,752091,19286,732381,424,8432167
2020-01-09,Russia,205902,16589,178947,10366,8599453
2020-01-09,Japan,895281,6143,882805,6333,12072062
2020-01-09,Canada,620356,16255,608107,-4006,12083040
2020-01-09,Australia,820060,11121,784581,24358,20598711
2020-01-10,USA,297288,4267,265106,27915,27526338
2020-01-10,India,234856,5759,205128,23969,17089845
2020-01-10,Brazil,916299,9990,912297,-5988,2917354
2020-01-10,UK,283239,6666,236674,39899,44983091
2020-01-10,Germany,35670,1593,9542,24535,25842057
2020-01-10,France,229336,13222,193547,22567,48929478
2020-01-10,Russia,125914,14738,96143,15033,21828911
2020-01-10,Japan,263205,2314,229061,31830,26529959
2020-01-10,Canada,153850,12618,108649,32583,7005414
2020-01-10,Australia,105158,11769,57966,35423,28479845
2020-01-11,USA,394246,4755,367501,21990,47748876
2020-01-11,India,365376,13324,336852,15200,38325508
2020-01-11,Brazil,292331,9802,275820,6709,20644184
2020-01-11,UK,574585,15894,568394,-9703,22038871
2020-01-11,Germany,888234,17350,841418,29466,37670787
2020-01-11,France,636068,5848,626203,4017,10814931
2020-01-11,Russia,913898,10860,869321,33717,40146732
2020-01-11,Japan,557573,9154,520803,27616,41303140
2020-01-11,Canada,950133,1134,912486,36513,32741166
2020-01-11,Australia,331337,297,321403,9637,49790195
2020-01-12,USA,761621,3739,752435,5447,33083525
2020-01-12,India,73428,2316,33007,38105,27344654
2020-01-12,Brazil,37857,9327,-1193,29723,10885474
2020-01-12,UK,425331,15933,399606,9792,5090067
2020-01-12,Germany,461686,8297,416514,36875,34308837
2020-01-12,France,683923,2555,644809,36559,16078923
2020-01-12,Russia,132713,3683,112501,16529,1393895
2020-01-12,Japan,828997,13077,810546,5374,38245416
2020-01-12,Canada,614509,9212,611533,-6236,8778899
2020-01-12,Australia,412034,5828,401361,4845,7882907
2020-01-13,USA,918303,15574,889442,13287,6133965
2020-01-13,India,711578,16541,664630,30407,14559603
2020-01-13,Brazil,83222,8275,66809,8138,40440770
2020-01-13,UK,71426,5801,42332,23293,7974206
2020-01-13,Germany,980032,11568,931599,36865,17332684
2020-01-13,France,587017,19172,540802,27043,3577895
2020-01-13,Russia,509805,1282,498678,9845,36240046
2020-01-13,Japan,831382,4083,829221,-1922,39781056
2020-01-13,Canada,986820,5307,941300,40213,29463709
2020-01-13,Australia,611540,11182,594777,5581,22381480
2020-01-14,USA,25527,6454,-5696,24769,18489172
2020-01-14,India,457661,7473,453363,-3175,16982024
2020-01-14,Brazil,35722,7346,22464,5912,15306033
2020-01-14,UK,261352,2428,254326,4598,26694564
2020-01-14,Germany,641898,15657,596866,29375,33292637
2020-01-14,France,693564,19195,648089,26280,31945511
2020-01-14,Russia,397919,16650,392255,-10986,38212537
2020-01-14,Japan,103326,3756,90674,8896,5549359
2020-01-14,Canada,322357,3905,274571,43881,38951021
2020-01-14,Australia,777853,13737,749238,14878,38984382
2020-01-15,USA,40226,6537,2352,31337,29570489
2020-01-15,India,834653,8983,806936,18734,49898488
2020-01-15,Brazil,73229,8456,35069,29704,29414095
2020-01-15,UK,837437,5821,792400,39216,45580697
2020-01-15,Germany,904548,5990,857955,40603,31031123
2020-01-15,France,589735,6021,547017,36697,1784202
2020-01-15,Russia,27081,17552,14962,-5433,15376217
2020-01-15,Japan,233106,17650,228309,-12853,38477415
2020-01-15,Canada,913893,10070,901243,2580,41896668
2020-01-15,Australia,759582,12674,745660,1248,35060166
2020-01-16,USA,28481,159,-1543,29865,49061239
2020-01-16,India,16504,4048,5991,6465,15233217
2020-01-16,Brazil,277341,3410,251326,22605,13028358
2020-01-16,UK,931312,11948,887431,31933,13371859
2020-01-16,Germany,683689,1728,651945,30016,26952726
2020-01-16,France,166821,16420,129341,21060,33806005
2020-01-16,Russia,324340,1800,311098,11442,2558228
2020-01-16,Japan,172065,5062,141854,25149,12978520
2020-01-16,Canada,564851,7880,521940,35031,13530753
2020-01-16,Australia,192856,19058,177421,-3623,43682116
2020-01-17,USA,433426,4040,394203,35183,2085367
2020-01-17,India,406218,9762,381764,14692,20885369
2020-01-17,Brazil,22938,1630,-16719,38027,12104092
2020-01-17,UK,125099,211,100509,24379,33681468
2020-01-17,Germany,925436,1856,890282,33298,34609939
2020-01-17,France,693467,19397,652396,21674,2283814
2020-01-17,Russia,630344,5031,605760,19553,45929358
2020-01-17,Japan,146734,17336,123881,5517,18566129
2020-01-17,Canada,500461,451,482632,17378,38556523
2020-01-17,Australia,272760,18844,271339,-17423,14421255
2020-01-18,USA,747053,16628,718695,11730,9652616
2020-01-18,India,42386,8139,-6180,40427,45718697
2020-01-18,Brazil,364494,15008,360259,-10773,29661595
2020-01-18,UK,388190,12716,352773,22701,47052307
2020-01-18,Germany,395565,11370,348247,35948,41564807
2020-01-18,France,331302,12167,293996,25139,36551583
2020-01-18,Russia,19900,1577,12556,5767,37777777
2020-01-18,Japan,170057,12536,123247,34274,26219769
2020-01-18,Canada,763480,10553,735504,17423,47854271
2020-01-18,Australia,96503,6229,74786,15488,25998893
2020-01-19,USA,171172,12451,148686,10035,47714501
2020-01-19,India,456959,17336,426673,12950,40894301
2020-01-19,Brazil,790324,5695,770840,13789,30945123
2020-01-19,UK,221726,4042,184606,33078,44276147
2020-01-19,Germany,686538,9967,655628,20943,32501164
2020-01-19,France,941426,13302,925117,3007,365886
2020-01-19,Russia,47868,11583,22090,14195,45941170
2020-01-19,Japan,78297,16938,32586,28773,21992320
2020-01-19,Canada,752276,16973,713753,21550,18243424
2020-01-19,Australia,624846,11980,577542,35324,8544461
2020-01-20,USA,850050,18149,804193,27708,29403088
2020-01-20,India,265242,7611,252239,5392,35390755
2020-01-20,Brazil,924136,1045,916093,6998,42518270
2020-01-20,UK,632657,11028,630087,-8458,33404524
2020-01-20,Germany,843930,1567,828244,14119,34025732
2020-01-20,France,224062,6859,221634,-4431,17909231
2020-01-20,Russia,115039,9361,106174,-496,12104557
2020-01-20,Japan,97487,4954,75018,17515,12371819
2020-01-20,Canada,846712,3076,807002,36634,3414530
2020-01-20,Australia,236382,7873,214812,13697,6351816
2020-01-21,USA,40420,17267,10319,12834,42723801
2020-01-21,India,634390,5350,619536,9504,9952126
2020-01-21,Brazil,69265,1694,60648,6923,43361397
2020-01-21,UK,57814,7951,25667,24196,17974116
2020-01-21,Germany,530679,19770,484917,25992,38031087
2020-01-21,France,19885,18024,12811,-10950,36744483
2020-01-21,Russia,724546,16777,702582,5187,22203304
2020-01-21,Japan,355408,2002,352791,615,35994687
2020-01-21,Canada,287146,18043,284052,-14949,36884158
2020-01-21,Australia,342208,5635,301783,34790,26853439
2020-01-22,USA,6496,8206,-11645,9935,45445631
2020-01-22,India,106776,14726,65254,26796,39984949
2020-01-22,Brazil,378005,8294,359263,10448,810726
2020-01-22,UK,943637,19218,941031,-16612,38291517
2020-01-22,Germany,177627,8059,138338,31230,32646502
2020-01-22,France,195448,7514,147927,40007,29981567
2020-01-22,Russia,43744,12291,33219,-1766,18021630
2020-01-22,Japan,646651,4618,600032,42001,48454293
2020-01-22,Canada,651426,19290,622578,9558,33506812
2020-01-22,Australia,70940,17476,50339,3125,28059923
2020-01-23,USA,956936,2701,936484,17751,28032482
2020-01-23,India,911628,11065,871106,29457,36836885
2020-01-23,Brazil,129461,9979,123380,-3898,1519138
2020-01-23,UK,162435,4012,123356,35067,42936565
2020-01-23,Germany,432187,11397,421309,-519,39149725
2020-01-23,France,347072,19348,304893,22831,30504783
2020-01-23,Russia,872728,5905,869271,-2448,7116959
2020-01-23,Japan,468265,202,452676,15387,21512982
2020-01-23,Canada,536077,11737,488172,36168,7595542
2020-01-23,Australia,801810,16865,795889,-10944,22648149
2020-01-24,USA,452182,11199,440435,548,28681871
2020-01-24,India,638887,9159,591116,38612,9205392
2020-01-24,Brazil,225416,10315,200231,14870,18673336
2020-01-24,UK,732389,2056,702597,27736,8436390
2020-01-24,Germany,880099,2377,832364,45358,24278826
2020-01-24,France,302240,10296,296847,-4903,33966978
2020-01-24,Russia,828579,4584,827385,-3390,31609661
2020-01-24,Japan,894329,7380,883572,3377,3096866
2020-01-24,Canada,75986,18287,70859,-13160,15707411
2020-01-24,Australia,431226,13217,406427,11582,16176988
2020-01-25,USA,280541,15336,235774,29431,5711585
2020-01-25,India,488168,11338,462992,13838,4476825
2020-01-25,Brazil,848518,16648,839992,-8122,48014957
2020-01-25,UK,299872,4990,264673,30209,3703341
2020-01-25,Germany,287569,1110,278064,8395,43670754
2020-01-25,France,180093,10773,161472,7848,10686064
2020-01-25,Russia,294934,7597,284775,2562,35306664
2020-01-25,Japan,642577,1521,602148,38908,42339381
2020-01-25,Canada,274702,15619,237684,21399,41341698
2020-01-25,Australia,227487,507,179575,47405,25505466
2020-01-26,USA,580665,9397,578397,-7129,40251148
2020-01-26,India,672377,9299,649990,13088,36052252
2020-01-26,Brazil,817843,553,800196,17094,40994757
2020-01-26,UK,113951,15530,83829,14592,4783778
2020-01-26,Germany,610797,17062,597509,-3774,432149
2020-01-26,France,870824,16936,859192,-5304,8126015
2020-01-26,Russia,738139,11680,717303,9156,18953519
2020-01-26,Japan,388241,6610,358765,22866,44236372
2020-01-26,Canada,509705,16615,463980,29110,42405196
2020-01-26,Australia,901571,19816,868378,13377,41879875
2020-01-27,USA,37254,271,-12668,49651,34216037
2020-01-27,India,267577,18849,223169,25559,8330518
2020-01-27,Brazil,558847,12816,517463,28568,10932340
2020-01-27,UK,152945,1435,139362,12148,17212094
2020-01-27,Germany,672874,18675,645635,8564,35212899
2020-01-27,France,384259,1956,340957,41346,43856729
2020-01-27,Russia,195272,17799,164703,12770,9947358
2020-01-27,Japan,645731,17006,608654,20071,45290776
2020-01-27,Canada,519040,4481,507481,7078,38016791
2020-01-27,Australia,566763,11581,529927,25255,23445064
2020-01-28,USA,70062,18154,47091,4817,21658669
2020-01-28,India,609937,8051,608523,-6637,46105269
2020-01-28,Brazil,371594,4456,321929,45209,21189426
2020-01-28,UK,780243,6752,742111,31380,2701282
2020-01-28,Germany,213456,9568,166461,37427,22605868
2020-01-28,France,582211,4911,578729,-1429,29663820
2020-01-28,Russia,378425,12389,373671,-7635,44122006
2020-01-28,Japan,905082,15028,861486,28568,3770075
2020-01-28,Canada,16040,5471,-30063,40632,19708221
2020-01-28,Australia,476666,3487,466178,7001,35229885
2020-01-29,USA,282765,4550,262636,15579,42790667
2020-01-29,India,347580,2773,311269,33538,8437557
2020-01-29,Brazil,967827,9633,952205,5989,642351
2020-01-29,UK,278118,12711,260766,4641,6198267
2020-01-29,Germany,347727,4991,310400,32336,43434019
2020-01-29,France,557141,9194,509234,38713,31678910
2020-01-29,Russia,746098,10023,738101,-2026,3313298
2020-01-29,Japan,723454,13013,722088,-11647,12411054
2020-01-29,Canada,141226,15318,115996,9912,6012903
2020-01-29,Australia,378397,17988,375253,-14844,44611083
2020-01-30,USA,517169,9858,490589,16722,6272751
2020-01-30,India,408402,10642,381907,15853,8473772
2020-01-30,Brazil,334796,9282,312277,13237,35757501
2020-01-30,UK,740618,12932,706576,21110,8613703
2020-01-30,Germany,515771,14994,508299,-7522,35405855
2020-01-30,France,692574,6086,661667,24821,35820496
2020-01-30,Russia,376562,4697,336025,35840,1400635
2020-01-30,Japan,429208,9231,398183,21794,9707007
2020-01-30,Canada,999008,18729,960235,20044,22057883
2020-01-30,Australia,258916,10129,234913,13874,3517943
2020-01-31,USA,554194,5503,539806,8885,36782626
2020-01-31,India,48650,8384,7898,32368,32662344
2020-01-31,Brazil,22218,1697,-11649,32170,29944611
2020-01-31,UK,687820,6353,641706,39761,48207782
2020-01-31,Germany,416713,4626,406012,6075,30803318
2020-01-31,France,491843,5793,460047,26003,5928144
2020-01-31,Russia,428513,7311,414134,7068,16589541
2020-01-31,Japan,570959,169,537152,33638,45049653
2020-01-31,Canada,819380,5915,810249,3216,38578223
2020-01-31,Australia,788909,12286,755876,20747,39342271
2020-02-01,USA,439578,17315,414546,7717,27135178
2020-02-01,India,142761,17614,137578,-12431,13471799
2020-02-01,Brazil,738504,7972,709667,20865,4228086
2020-02-01,UK,799752,370,768524,30858,40136397
2020-02-01,Germany,406780,3206,371192,32382,37788699
2020-02-01,France,520840,4564,473223,43053,1805513
2020-02-01,Russia,702260,4689,656384,41187,36263614
2020-02-01,Japan,123725,8132,114118,1475,18173188
2020-02-01,Canada,224476,1819,218837,3820,45699569
2020-02-01,Australia,762916,18054,759465,-14603,43102551
2020-02-02,USA,573299,9417,550874,13008,15151569
2020-02-02,India,413909,3717,402441,7751,34493064
2020-02-02,Brazil,335648,14881,329002,-8235,34843834
2020-02-02,UK,242519,402,219311,22806,9066463
2020-02-02,Germany,883710,175,878287,5248,34750710
2020-02-02,France,264539,14196,222913,27430,27426303
2020-02-02,Russia,421030,7904,417184,-4058,12202431
2020-02-02,Japan,204921,11949,172364,20608,19154675
2020-02-02,Canada,395457,6343,347745,41369,46627755
2020-02-02,Australia,43327,7452,24553,11322,33688689
2020-02-03,USA,141592,14467,131858,-4733,3906217
2020-02-03,India,598184,17179,562269,18736,46109113
2020-02-03,Brazil,983268,16471,938058,28739,32716158
2020-02-03,UK,58564,14958,13842,29764,47602572
2020-02-03,Germany,886364,12901,836398,37065,28809928
2020-02-03,France,972069,1029,967535,3505,6820364
2020-02-03,Russia,106229,3018,65599,37612,5058637
2020-02-03,Japan,698180,9229,673722,15229,21610072
2020-02-03,Canada,538207,13372,531599,-6764,20103484
2020-02-03,Australia,93190,2602,86713,3875,11046362
2020-02-04,USA,560459,6362,514511,39586,49254816
2020-02-04,India,618199,3752,617106,-2659,21368720
2020-02-04,Brazil,870755,16002,854638,115,24172672
2020-02-04,UK,745925,8614,707521,29790,8874381
2020-02-04,Germany,829287,1271,825475,2541,36219818
2020-02-04,France,678503,14320,671727,-7544,33852707
2020-02-04,Russia,826689,6753,808053,11883,30557254
2020-02-04,Japan,732832,19353,697085,16394,39695649
2020-02-04,Canada,735552,17784,729716,-11948,37770540
2020-02-04,Australia,227944,12495,218660,-3211,9251929
2020-02-05,USA,545779,13495,506362,25922,40311061
2020-02-05,India,309419,14835,289617,4967,43393890
2020-02-05,Brazil,85254,13202,43234,28818,30770967
2020-02-05,UK,94098,10627,70043,13428,12978484
2020-02-05,Germany,31015,4552,29442,-2979,19065745
2020-02-05,France,960401,4160,922790,33451,23252619
2020-02-05,Russia,907674,1811,858679,47184,7943215
2020-02-05,Japan,552800,17174,510341,25285,4357715
2020-02-05,Canada,338411,17753,328990,-8332,13240549
2020-02-05,Australia,366417,461,327881,38075,13299180
2020-02-06,USA,413766,15222,406198,-7654,18119772
2020-02-06,India,414490,6330,413179,-5019,33905256
2020-02-06,Brazil,120224,913,83509,35802,32296946
2020-02-06,UK,122209,13791,116417,-7999,26025766
2020-02-06,Germany,324306,1236,288264,34806,37244077
2020-02-06,France,457264,19545,442745,-5026,26087948
2020-02-06,Russia,93726,7868,77349,8509,29397037
2020-02-06,Japan,80327,5188,47007,28132,31308141
2020-02-06,Canada,698730,19724,666822,12184,20695452
2020-02-06,Australia,558280,14440,531628,12212,4931975
2020-02-07,USA,663205,598,650273,12334,16052346
2020-02-07,India,393680,9189,346905,37586,21210037
2020-02-07,Brazil,689201,3573,686045,-417,26909157
2020-02-07,UK,453727,16605,432348,4774,21537155
2020-02-07,Germany,280168,3874,259582,16712,20624011
2020-02-07,France,158164,4844,115425,37895,19440054
2020-02-07,Russia,672509,4715,668730,-936,37298912
2020-02-07,Japan,805988,4977,783189,17822,10776536
2020-02-07,Canada,511509,9703,501584,222,26035853
2020-02-07,Australia,777384,1681,770777,4926,29996801
2020-02-08,USA,422529,8035,388935,25559,27106676
2020-02-08,India,729727,12346,697557,19824,28718232
2020-02-08,Brazil,699185,18775,660541,19869,45648976
2020-02-08,UK,110555,5972,73885,30698,25184327
2020-02-08,Germany,487391,19710,471198,-3517,14770952
2020-02-08,France,352977,17000,317579,18398,24632542
2020-02-08,Russia,184833,16172,163411,5250,49203771
2020-02-08,Japan,987588,13066,980907,-6385,38268597
2020-02-08,Canada,221731,7194,190508,24029,17552710
2020-02-08,Australia,738851,17015,720150,1686,45890316
2020-02-09,USA,746720,5583,719723,21414,30360666
2020-02-09,India,817118,10073,773308,33737,25858390
2020-02-09,Brazil,279656,16592,233288,29776,32408464
2020-02-09,UK,173172,9139,150411,13622,17963458
2020-02-09,Germany,325256,8374,300142,16740,18640089
2020-02-09,France,595237,16285,550069,28883,36951644
2020-02-09,Russia,625774,6681,591147,27946,15066908
2020-02-09,Japan,917393,18047,915922,-16576,47589496
2020-02-09,Canada,609976,1918,574165,33893,17890746
2020-02-09,Australia,443126,14530,405923,22673,26396046
2020-02-10,USA,119328,13099,112318,-6089,13205734
2020-02-10,India,24536,2971,1976,19589,39237526
2020-02-10,Brazil,58602,2065,17374,39163,5531676
2020-02-10,UK,282671,3306,271822,7543,28337716
2020-02-10,Germany,471857,8074,458238,5545,24802280
2020-02-10,France,182449,2246,142408,37795,27045050
2020-02-10,Russia,34509,19258,15239,12,3829611
2020-02-10,Japan,662631,19630,644771,-1770,45808021
2020-02-10,Canada,98736,9583,54000,35153,47405054
2020-02-10,Australia,560101,6884,545958,7259,1137313
2020-02-11,USA,702959,3099,672728,27132,41205997
2020-02-11,India,973849,215,946999,26635,38040826
2020-02-11,Brazil,577923,7572,533664,36687,21831413
2020-02-11,UK,193525,2865,170848,19812,2245082
2020-02-11,Germany,108462,8586,81310,18566,9896639
2020-02-11,France,301085,2878,295155,3052,44054539
2020-02-11,Russia,28362,1447,14040,12875,33192609
2020-02-11,Japan,255324,12201,235655,7468,5114981
2020-02-11,Canada,485580,11788,479434,-5642,29617500
2020-02-11,Australia,329154,8592,325142,-4580,5691289
2020-02-12,USA,311042,10253,304112,-3323,15299590
2020-02-12,India,302837,6151,298784,-2098,40125105
2020-02-12,Brazil,328541,17559,324407,-13425,1659609
2020-02-12,UK,537109,6321,509456,21332,17246193
2020-02-12,Germany,176434,10502,127684,38248,2898317
2020-02-12,France,184513,16019,177843,-9349,27433415
2020-02-12,Russia,516805,739,467652,48414,49823088
2020-02-12,Japan,194699,19972,175844,-1117,7757045
2020-02-12,Canada,309239,10468,266966,31805,31851055
2020-02-12,Australia,410537,10471,378330,21736,37367065
2020-02-13,USA,131777,1078,82902,47797,8656916
2020-02-13,India,61521,19915,50898,-9292,12186940
2020-02-13,Brazil,347767,3913,334292,9562,27463578
2020-02-13,UK,132053,3367,86930,41756,23848341
2020-02-13,Germany,988201,16474,945665,26062,2785030
2020-02-13,France,588502,17386,566418,4698,27326676
2020-02-13,Russia,756451,13681,748459,-5689,18374845
2020-02-13,Japan,972175,13254,928660,30261,30785647
2020-02-13,Canada,299363,12357,274015,12991,29275952
2020-02-13,Australia,616188,12183,584429,19576,34061820
2020-02-14,USA,938853,11929,905032,21892,36400683
2020-02-14,India,181836,15749,159598,6489,39572413
2020-02-14,Brazil,964955,6814,960499,-2358,19074367
2020-02-14,UK,434946,12308,391329,31309,2070068
2020-02-14,Germany,612847,4562,587236,21049,28205824
2020-02-14,France,546101,6159,510183,29759,19180047
2020-02-14,Russia,828013,12364,797473,18176,20123132
2020-02-14,Japan,920441,5627,878983,35831,23835562
2020-02-14,Canada,692235,9350,690293,-7408,10041774
2020-02-14,Australia,953269,5826,931227,16216,10078701
2020-02-15,USA,998827,19628,957662,21537,24298964
2020-02-15,India,966965,1868,937085,28012,37506261
2020-02-15,Brazil,834317,15522,788078,30717,19401240
2020-02-15,UK,7381,1867,-28433,33947,14440690
2020-02-15,Germany,946629,5266,915599,25764,45058748
2020-02-15,France,978316,12438,971871,-5993,31408793
2020-02-15,Russia,144574,5179,100775,38620,11887811
2020-02-15,Japan,765463,9589,731730,24144,8976270
2020-02-15,Canada,851162,2482,805111,43569,8416632
2020-02-15,Australia,560123,14675,539162,6286,4499783
2020-02-16,USA,922738,13541,883949,25248,7951816
2020-02-16,India,523659,7872,511559,4228,32981129
2020-02-16,Brazil,814586,9156,799992,5438,17722252
2020-02-16,UK,605195,10113,572808,22274,48700253
2020-02-16,Germany,793637,9776,772730,11131,44623558
2020-02-16,France,259513,8396,218562,32555,42986966
2020-02-16,Russia,728844,14067,707754,7023,35102862
2020-02-16,Japan,24650,17328,-17412,24734,45159170
2020-02-16,Canada,407024,6275,398320,2429,9660695
2020-02-16,Australia,497990,10155,478969,8866,8334799
2020-02-17,USA,467445,17260,438718,11467,24857914
2020-02-17,India,187084,3426,157362,26296,25594703
2020-02-17,Brazil,881992,8171,857076,16745,23555875
2020-02-17,UK,291466,4908,256255,30303,36602950
2020-02-17,Germany,842271,11764,798784,31723,34086639
2020-02-17,France,368941,16970,345002,6969,1213988
2020-02-17,Russia,337497,18246,311488,7763,40137342
2020-02-17,Japan,697492,6455,672576,18461,49813034
2020-02-17,Canada,877595,10096,870663,-3164,13555557
2020-02-17,Australia,495279,15156,460347,19776,408417
2020-02-18,USA,385553,2272,373231,10050,4993415
2020-02-18,India,603640,9639,556267,37734,20721482
2020-02-18,Brazil,920859,19838,916155,-15134,22959432
2020-02-18,UK,395977,10216,391633,-5872,11084291
2020-02-18,Germany,529003,14277,520548,-5822,7765753
2020-02-18,France,711311,5651,707039,-1379,32848979
2020-02-18,Russia,80942,2050,70874,8018,29049505
2020-02-18,Japan,178977,1898,165196,11883,44845648
2020-02-18,Canada,146720,3668,124554,18498,2016850
2020-02-18,Australia,870387,10193,867992,-7798,46742659
2020-02-19,USA,531320,17522,506742,7056,13258992
2020-02-19,India,103643,10072,59418,34153,3286938
2020-02-19,Brazil,6398,3333,-32470,35535,21425727
2020-02-19,UK,19250,16925,-26535,28860,34322938
2020-02-19,Germany,808772,14356,773714,20702,38974635
2020-02-19,France,772979,15946,728208,28825,20050975
2020-02-19,Russia,257063,3468,248738,4857,36086824
2020-02-19,Japan,254037,5631,236166,12240,43016089
2020-02-19,Canada,493754,19774,454123,19857,25310702
2020-02-19,Australia,15513,4752,-22109,32870,34308857
2020-02-20,USA,19099,3009,-20544,36634,42460906
2020-02-20,India,257967,10789,233131,14047,17229138
2020-02-20,Brazil,332416,10524,310422,11470,37724902
2020-02-20,UK,6339,5318,-13722,14743,43156653
2020-02-20,Germany,63908,4996,44187,14725,25425278
2020-02-20,France,797927,7974,761786,28167,21828830
2020-02-20,Russia,663015,2290,642257,18468,18906116
2020-02-20,Japan,954479,7759,932795,13925,28329332
2020-02-20,Canada,615441,15084,593895,6462,34596753
2020-02-20,Australia,945668,16976,939968,-11276,831182
2020-02-21,USA,379735,1531,365966,12238,42694704
2020-02-21,India,100012,15332,50735,33945,31732446
2020-02-21,Brazil,620982,14995,617699,-11712,20395366
2020-02-21,UK,871805,13989,829226,28590,34420102
2020-02-21,Germany,276652,6622,256348,13682,1716308
2020-02-21,France,175946,6132,173529,-3715,31240379
2020-02-21,Russia,795084,2917,772496,19671,24907197
2020-02-21,Japan,822566,1887,798743,21936,30890022
2020-02-21,Canada,127862,11702,103789,12371,32671564
2020-02-21,Australia,989420,705,951926,36789,2628739
2020-02-22,USA,981359,9980,952827,18552,2868979
2020-02-22,India,861935,815,824207,36913,6634891
